rmaNumber,orderNumber,customerNumber,requestDate,approvedDate,returnedDate,resolvedDate,reason,status,refundAmount,comments
RMA-00024,19121,23518,2025-12-07,,,,Quality Not Acceptable,Pending,0.0,
RMA-00025,14169,23188,2026-05-01,2026-05-04,2026-05-18,2026-05-19,Defective Product,Completed,439.8,Awaiting return shipment.
RMA-00026,14776,24145,2023-06-24,2023-06-25,2023-07-02,2023-07-06,Defective Product,Completed,1319.9,
RMA-00027,20182,24516,2022-02-27,2022-03-03,,,Wrong Item Shipped,Approved,38.63,
RMA-00028,10544,22308,2026-05-18,,,,Defective Product,Pending,0.0,
RMA-00029,14899,21797,2026-05-09,2026-05-11,2026-05-25,2026-05-31,Defective Product,Completed,128.94,
RMA-00030,19197,20347,2025-01-31,2025-02-04,2025-02-15,,Changed Mind,Received,349.84,Partial refund agreed upon.
RMA-00031,14931,23258,2026-01-17,2026-01-19,,,Not as Described,Approved,194.4,Customer provided photos of damage.
RMA-00032,13860,21360,2024-11-01,2024-11-05,,,Duplicate Order,Approved,1163.2,
RMA-00033,14477,22875,2025-04-29,2025-05-02,2025-05-12,,Quality Not Acceptable,Received,26.56,
RMA-00034,10652,20178,2022-04-13,,,,Missing Parts,Pending,0.0,Customer provided photos of damage.
RMA-00035,14687,23975,2023-04-18,2023-04-23,2023-05-03,,Changed Mind,Received,538.06,
RMA-00036,15822,22230,2025-07-09,2025-07-12,,,Defective Product,Approved,1045.6,
RMA-00037,13883,21457,2025-03-02,2025-03-07,2025-03-11,,Wrong Item Shipped,Received,388.47,Refund issued to original payment method.
RMA-00038,19509,20983,2022-06-26,2022-06-29,2022-07-03,2022-07-08,Wrong Item Shipped,Completed,179.48,
RMA-00039,18221,22601,2022-10-30,2022-11-02,,,Not as Described,Approved,890.24,
RMA-00040,11389,20615,2025-05-14,2025-05-16,,,Not as Described,Approved,97.76,Replacement sent instead of refund.
RMA-00041,17985,24581,2025-10-02,2025-10-04,2025-10-07,2025-10-09,Missing Parts,Completed,660.13,Refund issued to original payment method.
RMA-00042,11717,23888,2026-05-12,2026-05-16,2026-05-23,2026-05-25,Quality Not Acceptable,Completed,562.5,Partial refund agreed upon.
RMA-00043,13186,24430,2022-03-13,2022-03-14,,,Item Arrived Too Late,Approved,62.1,Item received and inspected.
RMA-00044,16269,21627,2022-02-12,,,,Missing Parts,Pending,0.0,
RMA-00045,16388,21044,2025-06-25,2025-06-27,,,Item Arrived Too Late,Approved,303.83,Second review requested.
RMA-00046,14746,20242,2022-07-06,2022-07-10,2022-07-18,2022-07-25,Missing Parts,Completed,94.79,Refund issued to original payment method.
RMA-00047,12433,20381,2022-08-28,2022-08-31,2022-09-11,2022-09-18,Duplicate Order,Completed,96.33,Item received and inspected.
RMA-00048,15403,24196,2022-12-11,,,,Damaged in Shipping,Pending,0.0,Replacement sent instead of refund.
RMA-00049,16898,21518,2025-01-05,2025-01-09,,,Wrong Item Shipped,Approved,22.38,Awaiting return shipment.
RMA-00050,18388,21232,2024-05-28,2024-05-31,2024-06-06,2024-06-07,Duplicate Order,Completed,1325.28,Replacement sent instead of refund.
RMA-00051,17772,20966,2022-10-08,,,,Not as Described,Pending,0.0,Second review requested.
RMA-00052,16565,21588,2023-10-16,2023-10-19,2023-10-25,,Quality Not Acceptable,Received,41.83,Second review requested.
RMA-00053,15494,20877,2026-02-01,2026-02-06,2026-02-12,2026-02-19,Defective Product,Completed,663.47,Replacement sent instead of refund.
RMA-00054,11501,22685,2024-11-16,2024-11-19,,,Not as Described,Approved,117.57,RMA label emailed to customer.
RMA-00055,12715,22650,2023-01-09,2023-01-13,2023-01-21,2023-01-26,Missing Parts,Completed,824.69,
RMA-00056,16610,20217,2026-01-28,2026-01-31,,,Quality Not Acceptable,Approved,24.03,Awaiting return shipment.
RMA-00057,14921,24271,2024-04-16,,,,Item Arrived Too Late,Rejected,0.0,RMA label emailed to customer.
RMA-00058,10671,24242,2025-06-15,2025-06-17,,,Defective Product,Approved,40.37,Awaiting return shipment.
RMA-00059,18332,20051,2026-01-17,,,,Item Arrived Too Late,Rejected,0.0,Second review requested.
RMA-00060,16478,21264,2026-01-25,2026-01-28,,,Not as Described,Approved,363.14,Second review requested.
RMA-00061,16812,20613,2024-03-28,2024-03-29,2024-04-12,,Changed Mind,Received,345.46,Replacement sent instead of refund.
RMA-00062,17106,20048,2025-03-01,,,,Quality Not Acceptable,Pending,0.0,
RMA-00063,13064,24970,2024-12-23,2024-12-26,2025-01-01,2025-01-07,Damaged in Shipping,Completed,105.04,Partial refund agreed upon.
RMA-00064,14293,21944,2024-12-21,2024-12-26,2025-01-04,,Wrong Item Shipped,Received,85.94,
RMA-00065,17763,22926,2024-02-06,2024-02-10,2024-02-18,,Damaged in Shipping,Received,308.49,
RMA-00066,14983,22056,2022-06-11,2022-06-13,,,Damaged in Shipping,Approved,413.85,Customer provided photos of damage.
RMA-00067,16788,23987,2022-08-02,,,,Not as Described,Pending,0.0,Customer provided photos of damage.
RMA-00068,17573,20685,2026-01-16,2026-01-17,,,Changed Mind,Approved,523.0,Item received and inspected.
RMA-00069,19637,22107,2026-05-16,2026-05-17,2026-05-25,2026-05-29,Quality Not Acceptable,Completed,508.55,Replacement sent instead of refund.
RMA-00070,16082,20982,2023-09-10,2023-09-13,2023-09-25,,Quality Not Acceptable,Received,1429.62,
RMA-00071,13411,20593,2025-09-13,,,,Damaged in Shipping,Pending,0.0,
RMA-00072,17588,23398,2022-06-18,2022-06-20,,,Packaging Damaged,Approved,163.6,Escalated to manager.
RMA-00073,18888,22428,2022-06-24,,,,Wrong Item Shipped,Rejected,0.0,
RMA-00074,18780,24672,2026-07-01,2026-07-02,,,Damaged in Shipping,Approved,717.42,Escalated to manager.
RMA-00075,11815,24991,2024-07-18,,,,Item Arrived Too Late,Rejected,0.0,
RMA-00076,10459,21540,2022-02-07,2022-02-10,2022-02-14,,Wrong Item Shipped,Received,229.68,RMA label emailed to customer.
RMA-00077,19568,23163,2024-06-27,,,,Quality Not Acceptable,Pending,0.0,Item received and inspected.
RMA-00078,14504,21973,2024-04-01,,,,Packaging Damaged,Pending,0.0,
RMA-00079,17047,20102,2025-09-05,2025-09-10,2025-09-15,2025-09-16,Item Arrived Too Late,Completed,102.47,
RMA-00080,19373,24482,2024-06-13,,,,Defective Product,Rejected,0.0,Escalated to manager.
RMA-00081,17687,20952,2024-05-29,,,,Missing Parts,Rejected,0.0,Item received and inspected.
RMA-00082,19282,24228,2025-07-15,2025-07-17,2025-07-20,2025-07-21,Duplicate Order,Completed,719.13,
RMA-00083,12874,24839,2022-02-11,2022-02-12,,,Wrong Item Shipped,Approved,1206.98,Awaiting return shipment.
RMA-00084,10931,24103,2026-01-03,2026-01-04,,,Damaged in Shipping,Approved,148.7,RMA label emailed to customer.
RMA-00085,14157,24564,2023-06-23,2023-06-25,,,Duplicate Order,Approved,1168.84,Second review requested.
RMA-00086,18216,22402,2026-04-11,2026-04-13,2026-04-25,,Not as Described,Received,119.02,
RMA-00087,18501,21560,2022-02-13,,,,Packaging Damaged,Rejected,0.0,Forwarded to quality control.
RMA-00088,17718,20001,2026-05-03,2026-05-07,,,Packaging Damaged,Approved,240.3,
RMA-00089,10435,22648,2025-08-27,2025-08-31,2025-09-14,2025-09-20,Not as Described,Completed,181.25,Customer provided photos of damage.
RMA-00090,10831,24073,2025-06-04,2025-06-07,,,Changed Mind,Approved,116.39,Refund issued to original payment method.
RMA-00091,13931,24506,2024-06-08,2024-06-13,2024-06-27,2024-06-29,Item Arrived Too Late,Completed,85.97,Partial refund agreed upon.
RMA-00092,12437,24453,2022-02-28,,,,Missing Parts,Pending,0.0,
RMA-00093,13751,21139,2026-03-04,2026-03-07,,,Changed Mind,Approved,467.98,Replacement sent instead of refund.
RMA-00094,14574,23109,2023-07-04,2023-07-06,2023-07-15,,Packaging Damaged,Received,131.17,Refund issued to original payment method.
RMA-00095,12329,23674,2023-02-25,,,,Changed Mind,Pending,0.0,RMA label emailed to customer.
RMA-00096,11226,23679,2024-10-20,,,,Packaging Damaged,Rejected,0.0,Refund issued to original payment method.
RMA-00097,18803,20767,2024-03-26,2024-03-28,,,Packaging Damaged,Approved,219.98,Replacement sent instead of refund.
RMA-00098,15273,24485,2026-05-31,2026-06-04,2026-06-07,2026-06-13,Wrong Item Shipped,Completed,506.61,
RMA-00099,13357,24228,2025-09-08,2025-09-09,,,Packaging Damaged,Approved,1458.88,Partial refund agreed upon.
RMA-00100,16606,20446,2023-08-16,2023-08-18,,,Wrong Item Shipped,Approved,524.61,
RMA-00101,17228,23636,2022-04-18,2022-04-19,2022-04-28,2022-04-30,Item Arrived Too Late,Completed,321.73,Awaiting return shipment.
RMA-00102,14919,22733,2022-04-17,,,,Defective Product,Pending,0.0,Replacement sent instead of refund.
RMA-00103,10731,22661,2026-03-09,2026-03-11,2026-03-16,,Defective Product,Received,618.66,Partial refund agreed upon.
RMA-00104,14242,22466,2025-05-01,,,,Duplicate Order,Pending,0.0,Second review requested.
RMA-00105,15102,21888,2023-07-27,2023-07-28,,,Packaging Damaged,Approved,22.28,Escalated to manager.
RMA-00106,17315,21986,2023-10-18,,,,Wrong Item Shipped,Rejected,0.0,Customer provided photos of damage.
RMA-00107,19523,21096,2022-10-02,2022-10-05,2022-10-11,2022-10-18,Changed Mind,Completed,433.17,Partial refund agreed upon.
RMA-00108,11994,20023,2022-11-10,2022-11-12,2022-11-25,2022-12-02,Changed Mind,Completed,1471.46,Customer provided photos of damage.
RMA-00109,14260,21129,2024-02-06,2024-02-11,,,Duplicate Order,Approved,364.16,Second review requested.
RMA-00110,16362,20219,2024-07-05,2024-07-07,2024-07-13,2024-07-15,Quality Not Acceptable,Completed,298.11,Replacement sent instead of refund.
RMA-00111,19716,21689,2024-03-19,,,,Missing Parts,Rejected,0.0,Second review requested.
RMA-00112,14836,20336,2023-05-11,,,,Item Arrived Too Late,Pending,0.0,
RMA-00113,17074,23265,2024-08-14,2024-08-17,2024-08-28,2024-09-04,Changed Mind,Completed,65.61,RMA label emailed to customer.
RMA-00114,19830,23260,2026-05-14,2026-05-15,2026-05-29,2026-05-31,Quality Not Acceptable,Completed,50.71,Refund issued to original payment method.
RMA-00115,16808,23348,2025-12-29,2026-01-03,2026-01-14,,Quality Not Acceptable,Received,59.2,Refund issued to original payment method.
RMA-00116,12184,20561,2022-09-27,2022-10-02,2022-10-12,,Duplicate Order,Received,371.74,
RMA-00117,19058,21287,2023-07-11,,,,Defective Product,Rejected,0.0,Second review requested.
RMA-00118,16045,23393,2024-04-21,2024-04-26,2024-05-01,,Duplicate Order,Received,1474.42,
RMA-00119,13144,21673,2022-06-05,2022-06-07,2022-06-19,2022-06-21,Changed Mind,Completed,455.33,
RMA-00120,18044,21788,2024-11-02,2024-11-04,,,Damaged in Shipping,Approved,993.87,Escalated to manager.
RMA-00121,20211,24908,2022-05-05,2022-05-07,2022-05-16,,Defective Product,Received,65.49,Customer provided photos of damage.
RMA-00122,17267,20456,2023-01-13,2023-01-18,,,Defective Product,Approved,1180.5,Item received and inspected.
RMA-00123,16953,24062,2026-03-29,2026-04-03,,,Not as Described,Approved,310.54,Item received and inspected.
RMA-00124,19543,24191,2024-08-27,,,,Duplicate Order,Pending,0.0,Replacement sent instead of refund.
RMA-00125,12345,20498,2022-11-17,2022-11-20,,,Packaging Damaged,Approved,605.02,Awaiting return shipment.
RMA-00126,20127,21162,2023-04-22,2023-04-23,,,Wrong Item Shipped,Approved,430.57,Second review requested.
RMA-00127,18592,24623,2023-12-19,,,,Packaging Damaged,Rejected,0.0,Item received and inspected.
RMA-00128,17580,23903,2023-09-23,2023-09-26,,,Quality Not Acceptable,Approved,67.8,
RMA-00129,17395,23731,2024-04-08,2024-04-10,,,Defective Product,Approved,862.02,Refund issued to original payment method.
RMA-00130,16366,23366,2022-10-30,2022-11-02,2022-11-05,2022-11-11,Damaged in Shipping,Completed,1160.16,Replacement sent instead of refund.
RMA-00131,12836,22349,2024-11-21,2024-11-23,2024-12-03,,Wrong Item Shipped,Received,241.92,Escalated to manager.
RMA-00132,13114,24716,2023-10-22,2023-10-25,,,Duplicate Order,Approved,1379.0,Escalated to manager.
RMA-00133,19054,20105,2022-08-31,2022-09-03,,,Duplicate Order,Approved,1487.96,Replacement sent instead of refund.
RMA-00134,12505,20472,2023-04-17,2023-04-21,2023-05-04,2023-05-05,Defective Product,Completed,848.33,Replacement sent instead of refund.
RMA-00135,11251,24808,2022-07-15,2022-07-20,2022-08-02,2022-08-07,Defective Product,Completed,119.28,Second review requested.
RMA-00136,13612,24368,2025-07-08,2025-07-12,,,Item Arrived Too Late,Approved,132.85,Refund issued to original payment method.
RMA-00137,18907,22096,2025-02-02,,,,Missing Parts,Pending,0.0,
RMA-00138,14914,20046,2024-01-07,2024-01-10,2024-01-18,,Changed Mind,Received,470.15,Partial refund agreed upon.
RMA-00139,17583,20099,2026-05-06,2026-05-10,2026-05-19,2026-05-24,Quality Not Acceptable,Completed,818.83,Customer provided photos of damage.
RMA-00140,11858,20907,2025-08-10,2025-08-11,2025-08-25,,Defective Product,Received,31.58,Partial refund agreed upon.
RMA-00141,13715,20985,2022-02-02,2022-02-07,,,Wrong Item Shipped,Approved,772.5,
RMA-00142,18582,23920,2024-05-19,,,,Duplicate Order,Rejected,0.0,Forwarded to quality control.
RMA-00143,12202,21316,2023-10-16,2023-10-21,,,Changed Mind,Approved,20.46,RMA label emailed to customer.
RMA-00144,12516,22903,2025-11-25,2025-11-27,,,Changed Mind,Approved,979.09,Second review requested.
RMA-00145,18642,21638,2023-11-08,2023-11-13,2023-11-22,,Item Arrived Too Late,Received,1465.65,Awaiting return shipment.
RMA-00146,14364,24421,2026-01-06,2026-01-08,,,Not as Described,Approved,1352.06,Second review requested.
RMA-00147,15153,24146,2022-04-09,2022-04-10,,,Packaging Damaged,Approved,1320.1,Forwarded to quality control.
RMA-00148,13099,23829,2026-04-16,2026-04-21,,,Changed Mind,Approved,106.93,Partial refund agreed upon.
RMA-00149,11022,22694,2023-06-17,,,,Item Arrived Too Late,Rejected,0.0,RMA label emailed to customer.
RMA-00150,19874,22663,2024-02-11,,,,Wrong Item Shipped,Pending,0.0,
RMA-00151,17232,22740,2026-05-25,,,,Damaged in Shipping,Pending,0.0,Partial refund agreed upon.
RMA-00152,13011,21064,2024-11-29,2024-12-04,,,Item Arrived Too Late,Approved,43.69,Customer provided photos of damage.
RMA-00153,11939,20583,2025-12-13,2025-12-17,,,Missing Parts,Approved,282.28,Second review requested.
RMA-00154,20156,21305,2022-08-04,2022-08-08,,,Changed Mind,Approved,877.14,
RMA-00155,12705,22517,2026-03-26,2026-03-30,2026-04-08,,Damaged in Shipping,Received,273.79,Escalated to manager.
RMA-00156,12682,20475,2025-09-22,2025-09-26,2025-10-08,2025-10-10,Packaging Damaged,Completed,1135.15,RMA label emailed to customer.
RMA-00157,15441,24222,2026-03-07,2026-03-12,2026-03-21,,Wrong Item Shipped,Received,1092.79,Escalated to manager.
RMA-00158,16585,22953,2023-06-30,2023-07-04,,,Defective Product,Approved,69.67,Replacement sent instead of refund.
RMA-00159,15207,24290,2022-09-07,,,,Missing Parts,Rejected,0.0,Second review requested.
RMA-00160,14051,24154,2023-02-12,,,,Packaging Damaged,Rejected,0.0,
RMA-00161,17808,21461,2023-05-14,2023-05-18,2023-05-22,2023-05-23,Packaging Damaged,Completed,1267.69,RMA label emailed to customer.
RMA-00162,19934,23797,2023-03-24,2023-03-28,,,Packaging Damaged,Approved,298.45,Refund issued to original payment method.
RMA-00163,19138,22689,2023-07-10,,,,Wrong Item Shipped,Pending,0.0,
RMA-00164,17079,21183,2025-09-17,2025-09-21,,,Item Arrived Too Late,Approved,733.56,
RMA-00165,13196,21794,2025-09-23,2025-09-26,2025-10-01,2025-10-03,Damaged in Shipping,Completed,1230.58,Replacement sent instead of refund.
RMA-00166,20091,21088,2024-12-21,2024-12-22,2024-12-29,2025-01-05,Wrong Item Shipped,Completed,178.57,
RMA-00167,14034,24399,2026-01-04,,,,Duplicate Order,Pending,0.0,Customer provided photos of damage.
RMA-00168,17415,21025,2024-10-19,2024-10-23,2024-11-04,2024-11-09,Item Arrived Too Late,Completed,197.11,Item received and inspected.
RMA-00169,13282,20501,2023-09-08,,,,Damaged in Shipping,Rejected,0.0,Second review requested.
RMA-00170,19280,22886,2025-06-12,,,,Quality Not Acceptable,Pending,0.0,Forwarded to quality control.
RMA-00171,13639,23231,2024-02-04,2024-02-05,2024-02-18,2024-02-25,Defective Product,Completed,1440.07,Forwarded to quality control.
RMA-00172,16968,23814,2022-06-17,,,,Missing Parts,Rejected,0.0,Customer provided photos of damage.
RMA-00173,17560,20436,2022-09-01,,,,Defective Product,Pending,0.0,Escalated to manager.
RMA-00174,19528,20672,2022-08-24,2022-08-26,2022-09-06,2022-09-07,Defective Product,Completed,65.75,Refund issued to original payment method.
RMA-00175,15532,23373,2024-04-02,,,,Quality Not Acceptable,Pending,0.0,Escalated to manager.
RMA-00176,13905,20890,2024-12-10,2024-12-13,,,Missing Parts,Approved,225.55,Item received and inspected.
RMA-00177,13065,22835,2024-07-12,,,,Defective Product,Rejected,0.0,
RMA-00178,17610,20628,2025-01-26,2025-01-30,2025-02-08,2025-02-14,Missing Parts,Completed,911.66,Awaiting return shipment.
RMA-00179,12090,23878,2025-11-07,2025-11-10,2025-11-20,2025-11-26,Missing Parts,Completed,218.11,Refund issued to original payment method.
RMA-00180,10864,20701,2022-06-12,2022-06-14,,,Changed Mind,Approved,79.36,Forwarded to quality control.
RMA-00181,18423,23347,2023-11-06,,,,Wrong Item Shipped,Rejected,0.0,Item received and inspected.
RMA-00182,13230,20069,2023-04-12,,,,Quality Not Acceptable,Rejected,0.0,Customer provided photos of damage.
RMA-00183,17317,21187,2024-10-25,2024-10-26,2024-11-02,,Item Arrived Too Late,Received,775.39,Refund issued to original payment method.
RMA-00184,10917,24629,2026-05-15,2026-05-18,,,Missing Parts,Approved,902.56,Item received and inspected.
RMA-00185,19965,22405,2022-10-10,,,,Packaging Damaged,Rejected,0.0,Customer provided photos of damage.
RMA-00186,15018,23798,2023-05-17,2023-05-21,,,Not as Described,Approved,366.48,
RMA-00187,18893,23422,2025-01-14,2025-01-19,2025-01-22,2025-01-23,Damaged in Shipping,Completed,949.79,Escalated to manager.
RMA-00188,14872,20509,2023-11-09,2023-11-14,,,Damaged in Shipping,Approved,361.11,Refund issued to original payment method.
RMA-00189,16377,24605,2022-02-24,2022-02-25,,,Damaged in Shipping,Approved,65.29,Replacement sent instead of refund.
RMA-00190,13095,21238,2026-05-01,,,,Wrong Item Shipped,Pending,0.0,Item received and inspected.
RMA-00191,15148,21038,2026-02-27,2026-03-04,2026-03-11,,Quality Not Acceptable,Received,1489.67,Escalated to manager.
RMA-00192,13399,23856,2026-06-03,,,,Not as Described,Rejected,0.0,Replacement sent instead of refund.
RMA-00193,19428,23490,2023-05-18,2023-05-23,,,Packaging Damaged,Approved,180.78,Item received and inspected.
RMA-00194,12319,22264,2022-09-05,2022-09-10,,,Changed Mind,Approved,147.23,Replacement sent instead of refund.
RMA-00195,15564,20351,2026-02-24,2026-03-01,,,Item Arrived Too Late,Approved,179.33,Item received and inspected.
RMA-00196,12285,23580,2025-02-08,2025-02-13,2025-02-20,2025-02-26,Duplicate Order,Completed,128.4,
RMA-00197,19149,22005,2026-01-14,2026-01-16,2026-01-21,2026-01-26,Defective Product,Completed,155.66,RMA label emailed to customer.
RMA-00198,18529,22423,2026-02-13,2026-02-18,2026-02-27,,Quality Not Acceptable,Received,38.4,RMA label emailed to customer.
RMA-00199,18086,21901,2023-10-25,,,,Item Arrived Too Late,Pending,0.0,
RMA-00200,16412,22333,2023-10-19,2023-10-21,,,Missing Parts,Approved,24.23,Escalated to manager.
RMA-00201,11188,22759,2023-10-24,,,,Item Arrived Too Late,Pending,0.0,Second review requested.
RMA-00202,17848,23684,2023-01-30,,,,Quality Not Acceptable,Rejected,0.0,Awaiting return shipment.
RMA-00203,16602,23433,2023-12-09,2023-12-10,2023-12-17,,Missing Parts,Received,86.6,Item received and inspected.
RMA-00204,16430,22193,2026-07-03,2026-07-08,2026-07-12,2026-07-16,Packaging Damaged,Completed,381.7,Customer provided photos of damage.
RMA-00205,17618,20483,2022-09-22,2022-09-26,2022-10-08,2022-10-09,Item Arrived Too Late,Completed,397.97,Customer provided photos of damage.
RMA-00206,15707,23524,2022-09-19,,,,Not as Described,Pending,0.0,
RMA-00207,17667,20815,2025-10-18,,,,Duplicate Order,Pending,0.0,
RMA-00208,18987,23883,2022-12-22,,,,Packaging Damaged,Rejected,0.0,
RMA-00209,19160,24996,2024-06-15,2024-06-16,2024-06-29,2024-07-01,Quality Not Acceptable,Completed,664.49,Refund issued to original payment method.
RMA-00210,16605,21573,2022-11-03,2022-11-05,,,Wrong Item Shipped,Approved,104.99,Escalated to manager.
RMA-00211,10867,20651,2025-02-07,2025-02-11,2025-02-16,2025-02-18,Packaging Damaged,Completed,729.8,Refund issued to original payment method.
RMA-00212,20116,20973,2022-11-02,2022-11-05,,,Defective Product,Approved,1447.03,Replacement sent instead of refund.
RMA-00213,11678,20584,2026-04-12,2026-04-14,2026-04-23,,Packaging Damaged,Received,721.2,
RMA-00214,13630,21063,2026-07-20,2026-07-20,2026-07-20,,Damaged in Shipping,Received,602.81,Partial refund agreed upon.
RMA-00215,15295,20830,2022-10-17,2022-10-19,,,Wrong Item Shipped,Approved,490.38,
RMA-00216,12169,23465,2022-04-24,,,,Missing Parts,Pending,0.0,
RMA-00217,15292,24370,2023-10-18,,,,Packaging Damaged,Pending,0.0,
RMA-00218,19335,20503,2025-06-19,,,,Missing Parts,Pending,0.0,
RMA-00219,17549,20160,2024-08-25,2024-08-30,,,Defective Product,Approved,59.68,Item received and inspected.
RMA-00220,16849,23961,2024-10-15,2024-10-19,2024-10-30,2024-11-04,Wrong Item Shipped,Completed,47.41,Awaiting return shipment.
RMA-00221,20209,24295,2023-09-03,2023-09-05,2023-09-12,,Damaged in Shipping,Received,1181.98,
RMA-00222,13019,24004,2026-07-02,2026-07-06,2026-07-15,,Packaging Damaged,Received,364.48,
RMA-00223,10925,22870,2022-09-13,,,,Changed Mind,Rejected,0.0,Escalated to manager.
RMA-00224,10995,20431,2023-05-13,2023-05-15,2023-05-26,2023-05-29,Item Arrived Too Late,Completed,492.51,Second review requested.
RMA-00225,15330,22578,2023-12-01,2023-12-04,,,Damaged in Shipping,Approved,995.63,
RMA-00226,15335,24595,2022-06-14,2022-06-15,2022-06-26,,Changed Mind,Received,416.19,
RMA-00227,16679,24760,2023-08-30,2023-09-03,2023-09-09,2023-09-14,Duplicate Order,Completed,345.41,Escalated to manager.
RMA-00228,19272,22404,2025-07-17,2025-07-22,,,Changed Mind,Approved,608.65,
RMA-00229,14354,23043,2023-03-16,2023-03-17,,,Item Arrived Too Late,Approved,62.49,Forwarded to quality control.
RMA-00230,19888,20947,2026-04-21,2026-04-23,2026-05-07,,Item Arrived Too Late,Received,342.96,RMA label emailed to customer.
RMA-00231,12494,20773,2023-07-22,2023-07-23,2023-08-04,2023-08-08,Missing Parts,Completed,255.12,Forwarded to quality control.
RMA-00232,19090,23060,2024-07-06,2024-07-09,2024-07-17,2024-07-23,Duplicate Order,Completed,112.42,
RMA-00233,18883,24786,2023-08-29,2023-08-30,,,Duplicate Order,Approved,48.21,
RMA-00234,19271,22336,2023-07-05,,,,Defective Product,Pending,0.0,Partial refund agreed upon.
RMA-00235,12796,21528,2022-04-27,2022-05-01,,,Changed Mind,Approved,59.58,Refund issued to original payment method.
RMA-00236,18402,20960,2026-07-20,2026-07-20,2026-07-20,,Missing Parts,Received,312.22,RMA label emailed to customer.
RMA-00237,12337,24855,2022-04-13,2022-04-18,,,Wrong Item Shipped,Approved,1019.39,Forwarded to quality control.
RMA-00238,10850,23460,2026-03-08,2026-03-13,,,Packaging Damaged,Approved,1002.11,Forwarded to quality control.
RMA-00239,12534,23402,2023-05-04,2023-05-06,2023-05-16,,Wrong Item Shipped,Received,264.14,Second review requested.
RMA-00240,13699,20932,2022-04-13,,,,Changed Mind,Pending,0.0,
RMA-00241,10984,24522,2026-07-20,2026-07-20,,,Item Arrived Too Late,Approved,951.93,
RMA-00242,16619,20933,2024-09-16,2024-09-19,2024-09-26,2024-10-02,Packaging Damaged,Completed,53.98,Awaiting return shipment.
RMA-00243,18317,24938,2023-11-26,2023-12-01,2023-12-10,,Wrong Item Shipped,Received,480.82,Forwarded to quality control.
RMA-00244,19242,20254,2025-03-06,2025-03-07,,,Damaged in Shipping,Approved,1061.38,
RMA-00245,10462,21357,2026-03-08,2026-03-09,2026-03-14,,Item Arrived Too Late,Received,106.1,Refund issued to original payment method.
RMA-00246,16813,20630,2024-09-02,,,,Not as Described,Pending,0.0,Second review requested.
RMA-00247,19931,23349,2024-03-18,2024-03-19,2024-03-27,2024-03-30,Defective Product,Completed,1496.9,Partial refund agreed upon.
RMA-00248,12366,24572,2026-04-27,2026-04-29,,,Damaged in Shipping,Approved,330.46,Refund issued to original payment method.
